PubName,Longitude,Latitude
"The Three Tuns",-0.2634345,52.0090687
"The True Briton",-0.2671929,52.005792
"The Vicar's Inn",-0.2640466,52.0238555
"The Old Oak",-0.2642307,52.025415
"The White Horse",-0.2635801,52.016076
"The Bute Arms",-1.7837213,54.9311493
"Compass Inn",-2.3431116,51.5069722
"The Major's Retreat",-2.3352221,51.5068986
"Green Man",0.1130565,52.1765857
"Tally Ho",0.112904,52.1745617
"Bear Cross",-1.9198644,50.7697559
"The Woodland",-2.9097926,53.2641665
"Anchor Inn",-1.890016,54.9097921
"The Plough",-2.6251632,51.5577749
"Jenny Wren",0.137283,52.2295743
"The Ship",0.1288104,52.2310161
"The Squirrel",-0.7906721,51.6198519
"The Catherine Wheel",-1.2256579,51.7109493
"Anchor Inn",-2.5663349,51.6289362
"Masons Arms",-2.5366919,51.5803159
"Bristol",-2.2553694,51.8527674
"The Cotton Tree",-2.2232806,53.4286167
"Seven Stars",-3.538413,50.708991
"Crawford Hotel",-3.5375216,50.7104181
"The Greyhound",-0.9907296,51.5254225
"Red Lion",0.88761,52.5408393
"Panton Arms",0.1249433,52.1964242
"The Alma",0.1253729,52.1959875
"Earl of Derby",0.1340869,52.1921538
"Flying Pig",0.1318437,52.1943861
"The Abinger Hatch",-0.4043757,51.201976
"The Stephan Langton",-0.3869918,51.1982624
"The Wolfe Inn",-4.9708411,51.8967245
"The Dog",-2.2735535,51.8742073
"Butchers Arms",-2.2723016,51.9719702
"The Manor Inn",-0.4228087,51.3886519
"Battle Axes",-0.3187748,51.6578581
"The Bankers Draft",-0.4666921,52.1383367
"The Bear",-0.4669489,52.1382826
"Yates's",-0.4663747,52.1362823
"The Rose",-0.4663214,52.1360846
"Chameleon",-0.4669843,52.1359246
"Bar Citrus",-0.4685366,52.1377304
